Latitude,Longitude,POC,State,County,City,Site.Code,n
26.456944,-80.092778,1,Florida,Palm Beach,Delray Beach,12-099-2005,4096
26.456944,-80.092778,2,Florida,Palm Beach,Delray Beach,12-099-2005,231
26.456944,-80.092778,3,Florida,Palm Beach,Delray Beach,12-099-2005,126
26.602016,-81.877908,1,Florida,Lee,Fort Myers,12-071-0005,1977
26.602016,-81.877908,2,Florida,Lee,Fort Myers,12-071-0005,499
26.602016,-81.877908,3,Florida,Lee,Fort Myers,12-071-0005,2233
26.687606,-80.219619,3,Florida,Palm Beach,Not in a city,12-099-0022,1654
26.724786,-80.666447,1,Florida,Palm Beach,Belle Glade,12-099-0008,2323
26.724786,-80.666447,3,Florida,Palm Beach,Belle Glade,12-099-0008,2543
26.730833,-80.233889,1,Florida,Palm Beach,Royal Palm Beach,12-099-0009,4703
26.730833,-80.233889,2,Florida,Palm Beach,Royal Palm Beach,12-099-0009,308
26.730833,-80.233889,3,Florida,Palm Beach,Royal Palm Beach,12-099-0009,1240
27.290556,-82.507222,1,Florida,Sarasota,Ridge Wood Heights,12-115-0013,2007
27.290556,-82.507222,2,Florida,Sarasota,Ridge Wood Heights,12-115-0013,489
27.290556,-82.507222,3,Florida,Sarasota,Ridge Wood Heights,12-115-0013,2420
27.426981,-97.298692,1,Texas,Kleberg,Corpus Christi,48-273-0314,2244
27.426981,-97.298692,5,Texas,Kleberg,Corpus Christi,48-273-0314,149
27.449206,-80.408104,1,Florida,St. Lucie,Fort Pierce,12-111-1002,1256
27.449206,-80.408104,2,Florida,St. Lucie,Fort Pierce,12-111-1002,265
27.480873,-82.618709,1,Florida,Manatee,Bradenton,12-081-4012,872
27.517456,-99.515222,1,Texas,Webb,Laredo,48-479-0016,405
27.599444,-99.533333,1,Texas,Webb,Laredo,48-479-0313,2447
27.785866,-82.739875,1,Florida,Pinellas,Saint Petersburg,12-103-0018,5703
27.785866,-82.739875,2,Florida,Pinellas,Saint Petersburg,12-103-0018,457
27.785866,-82.739875,3,Florida,Pinellas,Saint Petersburg,12-103-0018,2449
27.804489,-97.431553,1,Texas,Nueces,Corpus Christi,48-355-0032,2507
27.804489,-97.431553,2,Texas,Nueces,Corpus Christi,48-355-0032,1038
27.804489,-97.431553,3,Texas,Nueces,Corpus Christi,48-355-0032,2443
27.804489,-97.431553,4,Texas,Nueces,Corpus Christi,48-355-0032,2412
27.806944,-97.454167,1,Texas,Nueces,Corpus Christi,48-355-0020,300
27.811817,-97.465703,5,Texas,Nueces,Corpus Christi,48-355-0034,1144
27.932244,-82.50954,1,Florida,Hillsborough,Tampa,12-057-0030,3456
27.932244,-82.50954,2,Florida,Hillsborough,Tampa,12-057-0030,315
27.946688,-82.731767,3,Florida,Pinellas,Clearwater,12-103-0004,1618
27.955133,-82.469532,1,Florida,Hillsborough,Tampa,12-057-0113,2534
27.95555,-82.46714,3,Florida,Hillsborough,Tampa,12-057-1111,692
27.96565,-82.2304,1,Florida,Hillsborough,Valrico,12-057-3002,4741
27.96565,-82.2304,2,Florida,Hillsborough,Valrico,12-057-3002,420
27.96565,-82.2304,3,Florida,Hillsborough,Valrico,12-057-3002,4718
27.986283,-82.78215,1,Florida,Pinellas,Clearwater,12-103-1009,1600
28.000297,-82.776213,1,Florida,Pinellas,Dunedin,12-103-1008,288
28.028889,-81.972222,1,Florida,Polk,Lakeland,12-105-6006,1974
28.028889,-81.972222,2,Florida,Polk,Lakeland,12-105-6006,408
28.028889,-81.972222,3,Florida,Polk,Lakeland,12-105-6006,2472
28.050296,-82.377871,1,Florida,Hillsborough,Tampa,12-057-1075,1396
28.053611,-80.628611,1,Florida,Brevard,Melbourne,12-009-0007,2029
28.053611,-80.628611,3,Florida,Brevard,Melbourne,12-009-0007,1392
28.53493,-81.384247,1,Florida,Orange,Orlando,12-095-0009,310
28.551112,-81.345347,1,Florida,Orange,Orlando,12-095-1004,3785
28.596389,-81.3625,1,Florida,Orange,Winter Park,12-095-2002,5276
28.596389,-81.3625,2,Florida,Orange,Winter Park,12-095-2002,432
28.596389,-81.3625,3,Florida,Orange,Winter Park,12-095-2002,3354
28.704607,-100.451156,1,Texas,Maverick,Eagle Pass,48-323-0004,2404
28.746111,-81.310556,1,Florida,Seminole,Sanford,12-117-1002,2087
28.746111,-81.310556,2,Florida,Seminole,Sanford,12-117-1002,456
28.746111,-81.310556,3,Florida,Seminole,Sanford,12-117-1002,2487
28.980556,-82.644381,1,Florida,Citrus,Not in a city,12-017-0005,1737
28.980556,-82.644381,2,Florida,Citrus,Not in a city,12-017-0005,498
29.010841,-95.397744,1,Texas,Brazoria,Clute (corporate name for Clute City),48-039-1003,312
29.162997,-98.589158,1,Texas,Atascosa,Lytle,48-013-1090,966
29.170533,-82.100646,1,Florida,Marion,Ocala,12-083-0003,928
29.206667,-81.0525,1,Florida,Volusia,Daytona Beach,12-127-5002,1820
29.206667,-81.0525,3,Florida,Volusia,Daytona Beach,12-127-5002,2470
29.254474,-94.861289,1,Texas,Galveston,Galveston,48-167-1034,884
29.254474,-94.861289,2,Texas,Galveston,Galveston,48-167-1034,1583
29.263319,-94.856568,5,Texas,Galveston,Galveston,48-167-0014,635
29.275381,-98.311692,1,Texas,Bexar,San Antonio,48-029-0059,625
29.275381,-98.311692,2,Texas,Bexar,San Antonio,48-029-0059,1901
29.30265,-103.17781,1,Texas,Brewster,Not in a city,48-043-0101,2762
29.30265,-103.17781,5,Texas,Brewster,Not in a city,48-043-0101,445
29.39,-94.919444,1,Texas,Galveston,Texas City,48-167-0053,364
29.422194,-98.505419,1,Texas,Bexar,San Antonio,48-029-0060,811
29.422194,-98.505419,2,Texas,Bexar,San Antonio,48-029-0060,110
29.503889,-95.104444,1,Texas,Galveston,League City,48-167-1005,327
29.503889,-95.104444,2,Texas,Galveston,League City,48-167-1005,112
29.51509,-98.620166,1,Texas,Bexar,San Antonio,48-029-0032,716
29.51509,-98.620166,2,Texas,Bexar,San Antonio,48-029-0032,2097
29.529432,-98.391403,1,Texas,Bexar,San Antonio,48-029-1069,203
29.529432,-98.391403,2,Texas,Bexar,San Antonio,48-029-1069,1921
29.566112,-82.26608,3,Florida,Alachua,Micanopy,12-001-3012,1707
29.566112,-82.26608,4,Florida,Alachua,Micanopy,12-001-3012,1583
29.587741,-98.312512,1,Texas,Bexar,Selma,48-029-0053,383
29.623889,-95.474167,1,Texas,Harris,Houston,48-201-0051,353
29.625556,-95.267222,1,Texas,Harris,Houston,48-201-0062,351
29.632058,-98.564936,1,Texas,Bexar,San Antonio,48-029-0052,857
29.658578,-82.408162,1,Florida,Alachua,Gainesville,12-001-0024,1246
29.670025,-95.128508,1,Texas,Harris,Deer Park,48-201-1039,62
29.670025,-95.128508,4,Texas,Harris,Deer Park,48-201-1039,6780
29.670025,-95.128508,5,Texas,Harris,Deer Park,48-201-1039,44
29.670025,-95.128508,8,Texas,Harris,Deer Park,48-201-1039,900
29.679301,-90.779731,1,Louisiana,Terrebonne,Gray (Beattieville),22-109-0001,2536
29.695729,-95.499219,5,Texas,Harris,Houston,48-201-0055,634
29.706111,-82.387778,1,Florida,Alachua,Gainesville,12-001-0023,2038
29.706111,-82.387778,2,Florida,Alachua,Gainesville,12-001-0023,482
29.723333,-95.635833,1,Texas,Harris,Houston,48-201-0066,352
29.733726,-95.257593,1,Texas,Harris,Houston,48-201-1035,7237
29.733726,-95.257593,2,Texas,Harris,Houston,48-201-1035,1201
29.751111,-95.361389,1,Texas,Harris,Houston,48-201-1037,135
29.752778,-95.350278,1,Texas,Harris,Houston,48-201-0075,229
29.767997,-95.220582,1,Texas,Harris,Houston,48-201-1034,2757
29.767997,-95.220582,5,Texas,Harris,Houston,48-201-1034,216
29.770698,-95.031232,1,Texas,Harris,Baytown,48-201-0058,1560
29.770698,-95.031232,2,Texas,Harris,Baytown,48-201-0058,3067
29.802707,-95.125495,1,Texas,Harris,Channelview,48-201-0026,167
29.802707,-95.125495,5,Texas,Harris,Channelview,48-201-0026,574
29.81453,-95.38769,1,Texas,Harris,Houston,48-201-1052,678
29.81453,-95.38769,2,Texas,Harris,Houston,48-201-1052,161
29.828086,-95.284096,1,Texas,Harris,Houston,48-201-0046,283
29.863957,-94.317802,1,Texas,Jefferson,Not in a city,48-245-0022,20
29.863957,-94.317802,2,Texas,Jefferson,Not in a city,48-245-0022,2799
29.863957,-94.317802,5,Texas,Jefferson,Not in a city,48-245-0022,653
29.88546,-89.94952,8,Louisiana,Plaquemines,Not in a city,22-075-8400,41
29.88546,-89.94952,9,Louisiana,Plaquemines,Not in a city,22-075-8400,1
29.888276,-97.87806,1,Texas,Caldwell,San Marcos,48-055-0062,384
29.900314,-90.109836,1,Louisiana,Jefferson,Marrero,22-051-2001,2071
29.900314,-90.109836,8,Louisiana,Jefferson,Marrero,22-051-2001,53
29.900314,-90.109836,9,Louisiana,Jefferson,Marrero,22-051-2001,2
29.901036,-95.326137,1,Texas,Harris,Houston,48-201-0024,55
29.901036,-95.326137,2,Texas,Harris,Houston,48-201-0024,16
29.901036,-95.326137,4,Texas,Harris,Houston,48-201-0024,1582
29.901036,-95.326137,5,Texas,Harris,Houston,48-201-0024,1522
29.9198,-90.231783,8,Louisiana,Jefferson,Waggaman,22-051-8107,47
29.922894,-93.909018,1,Texas,Jefferson,Port Arthur,48-245-0021,1798
29.922894,-93.909018,2,Texas,Jefferson,Port Arthur,48-245-0021,309
29.922894,-93.909018,4,Texas,Jefferson,Port Arthur,48-245-0021,2795
29.922894,-93.909018,5,Texas,Jefferson,Port Arthur,48-245-0021,416
29.933261,-90.359524,8,Louisiana,St. Charles,Luling,22-089-0005,18
29.939614,-89.923883,1,Louisiana,St. Bernard,Meraux,22-087-0004,638
29.939614,-89.923883,8,Louisiana,St. Bernard,Meraux,22-087-0004,131
29.943164,-89.97625,1,Louisiana,St. Bernard,Chalmette,22-087-0007,870
29.955704,-90.121733,1,Louisiana,Orleans,New Orleans,22-071-0010,601
29.955704,-90.121733,8,Louisiana,Orleans,New Orleans,22-071-0010,67
29.96249,-90.05689,8,Louisiana,Orleans,New Orleans,22-071-8401,69
29.96249,-90.05689,9,Louisiana,Orleans,New Orleans,22-071-8401,1
29.971443,-89.998605,8,Louisiana,St. Bernard,Arabi,22-087-8103,157
29.993519,-90.10155,1,Louisiana,Orleans,New Orleans,22-071-0012,1848
29.993519,-90.10155,2,Louisiana,Orleans,New Orleans,22-071-0012,289
29.993519,-90.10155,8,Louisiana,Orleans,New Orleans,22-071-0012,102
29.993519,-90.10155,9,Louisiana,Orleans,New Orleans,22-071-0012,1
29.996013,-90.11819,1,Louisiana,Orleans,New Orleans,22-071-0021,781
29.999264,-90.211619,8,Louisiana,Jefferson,Metairie,22-051-8106,83
30.016905,-89.927185,8,Louisiana,Orleans,New Orleans,22-071-8105,169
30.016905,-89.927185,9,Louisiana,Orleans,New Orleans,22-071-8105,88
30.020892,-90.123099,8,Louisiana,Jefferson,Metairie,22-051-8105,21
30.020892,-90.123099,9,Louisiana,Jefferson,Metairie,22-051-8105,1
30.032329,-90.045465,8,Louisiana,Orleans,New Orleans,22-071-8106,94
30.032329,-90.045465,9,Louisiana,Orleans,New Orleans,22-071-8106,1
30.041238,-90.272826,1,Louisiana,Jefferson,Kenner,22-051-1001,5571
30.041238,-90.272826,3,Louisiana,Jefferson,Kenner,22-051-1001,265
30.041238,-90.272826,8,Louisiana,Jefferson,Kenner,22-051-1001,100
30.0655,-89.804767,8,Louisiana,Orleans,New Orleans,22-071-8110,11
30.085263,-93.761341,1,Texas,Orange,West Orange,48-361-1001,1425
30.135797,-81.633981,1,Florida,Duval,Jacksonville,12-031-0098,5694
30.135797,-81.633981,3,Florida,Duval,Jacksonville,12-031-0098,1297
30.144369,-85.614371,1,Florida,Bay,Panama City,12-005-1004,1014
30.16635,-89.737333,8,Louisiana,Orleans,New Orleans,22-071-8109,14
30.17735,-93.214668,1,Louisiana,Calcasieu,Lake Charles,22-019-0010,1747
30.194167,-93.866944,1,Texas,Orange,West Orange,48-361-1100,2776
30.194167,-93.866944,5,Texas,Orange,West Orange,48-361-1100,573
30.217701,-92.051511,1,Louisiana,Lafayette,Lafayette,22-055-0005,675
30.217701,-92.051511,2,Louisiana,Lafayette,Lafayette,22-055-0005,304
30.219101,-91.062552,1,Louisiana,Iberville,St. Gabriel,22-047-0005,2434
30.221255,-91.315418,1,Louisiana,Iberville,Not in a city,22-047-0009,1679
30.22611,-92.042908,1,Louisiana,Lafayette,Lafayette,22-055-0007,1828
30.227798,-93.579965,1,Louisiana,Calcasieu,Vinton,22-019-0009,2533
30.230363,-89.567498,1,Mississippi,Hancock,Not in a city,28-045-0001,652
30.262778,-81.606833,3,Florida,Duval,Jacksonville,12-031-0108,4429
30.263204000000002,-97.712891,1,Texas,Travis,Austin,48-453-0021,1082
30.263204000000002,-97.712891,2,Texas,Travis,Austin,48-453-0021,667
30.263204000000002,-97.712891,3,Texas,Travis,Austin,48-453-0021,2993
30.26588,-89.76997,8,Louisiana,St. Tammany,Slidell,22-103-8401,26
30.26892,-89.44933,8,Mississippi,Hancock,Bay St. Louis,28-045-8104,91
30.275033,-92.01732,1,Louisiana,Lafayette,Lafayette,22-055-0006,1267
30.286737,-89.3743,8,Mississippi,Hancock,Waveland,28-045-8108,11
30.300833,-89.395916,1,Mississippi,Hancock,Waveland,28-045-0003,838
30.300833,-89.395916,3,Mississippi,Hancock,Waveland,28-045-0003,2585
30.31445,-89.81415,8,Louisiana,St. Tammany,Not in a city,22-103-8400,86
30.319695,-89.267386,8,Mississippi,Harrison,Pass Christian,28-047-8107,11
30.350302,-95.425128,5,Texas,Montgomery,Conroe,48-339-0078,423
30.35386,-97.69166,1,Texas,Travis,Austin,48-453-1068,181
30.35386,-97.69166,2,Texas,Travis,Austin,48-453-1068,1971
30.353889,-95.421667,1,Texas,Montgomery,Conroe,48-339-0089,45
30.354722,-81.547778,1,Florida,Duval,Jacksonville,12-031-0099,5700
30.354722,-81.547778,2,Florida,Duval,Jacksonville,12-031-0099,544
30.354944,-97.761803,1,Texas,Travis,Austin,48-453-0014,574
30.356339,-81.635396,1,Florida,Duval,Jacksonville,12-031-0032,2267
30.3658,-103.6491,5,Texas,Brewster,Alpine,48-043-0002,281
30.373678,-89.15513,8,Mississippi,Harrison,Long Beach,28-047-8101,124
30.378287,-88.53393,1,Mississippi,Jackson,Pascagoula,28-059-0006,1823
30.378287,-88.53393,3,Mississippi,Jackson,Pascagoula,28-059-0006,2589
30.378287,-88.53393,8,Mississippi,Jackson,Pascagoula,28-059-0006,131
30.378287,-88.53393,9,Mississippi,Jackson,Pascagoula,28-059-0006,2
30.38,-89.448333,9,Mississippi,Hancock,Not in a city,28-045-0002,8
30.390369,-89.049778,1,Mississippi,Harrison,Gulfport,28-047-0008,1820
30.390369,-89.049778,3,Mississippi,Harrison,Gulfport,28-047-0008,2566
30.390369,-89.049778,8,Mississippi,Harrison,Gulfport,28-047-0008,119
30.393193,-89.580378,8,Mississippi,Hancock,Not in a city,28-045-8201,127
30.393193,-89.580378,9,Mississippi,Hancock,Not in a city,28-045-8201,54
30.40288,-88.87987,8,Mississippi,Harrison,Biloxi,28-047-8106,3
30.408199,-86.889961,1,Florida,Santa Rosa,Gulf Breeze,12-113-0014,277
30.40966,-89.44114,8,Mississippi,Hancock,Kiln,28-045-8105,93
30.437,-87.256,1,Florida,Escambia,Pensacola,12-033-0025,530
30.439722,-84.346389,1,Florida,Leon,Tallahassee,12-073-0012,2277
30.439722,-84.346389,2,Florida,Leon,Tallahassee,12-073-0012,620
30.449005,-89.052683,8,Mississippi,Harrison,Gulfport,28-047-8102,111
30.4589,-87.334,1,Florida,Escambia,Not in a city,12-033-0030,41
30.4594,-87.3285,1,Florida,Escambia,Bellview,12-033-0029,40
30.461981,-91.179219,1,Louisiana,East Baton Rouge,Baton Rouge,22-033-0009,7484
30.461981,-91.179219,2,Louisiana,East Baton Rouge,Baton Rouge,22-033-0009,874
30.461981,-91.179219,3,Louisiana,East Baton Rouge,Baton Rouge,22-033-0009,7607
30.4641,-87.3287,1,Florida,Escambia,Bellview,12-033-0028,41
30.4678,-87.3316,1,Florida,Escambia,Bellview,12-033-0027,40
30.4678,-87.3316,2,Florida,Escambia,Bellview,12-033-0027,20
30.470916,-88.9827,8,Mississippi,Harrison,Biloxi,28-047-8103,119
30.474305,-88.141022,1,Alabama,Mobile,Theodore,01-097-2005,1271
30.483163,-97.875084,1,Texas,Travis,Leander,48-453-0020,1097
30.483163,-97.875084,2,Texas,Travis,Leander,48-453-0020,156
30.483163,-97.875084,5,Texas,Travis,Leander,48-453-0020,644
30.491857,-91.150107,1,Louisiana,East Baton Rouge,Baton Rouge,22-033-0002,431
30.497478,-87.880258,1,Alabama,Baldwin,Fairhope,01-003-0010,2371
30.500642,-91.213556,1,Louisiana,West Baton Rouge,Not in a city,22-121-0001,7354
30.503287,-90.377212,1,Louisiana,Tangipahoa,Hammond,22-105-0001,2486
30.503287,-90.377212,2,Louisiana,Tangipahoa,Hammond,22-105-0001,903
30.525367,-87.20355,1,Florida,Escambia,Ferry Pass,12-033-0004,2082
30.525367,-87.20355,2,Florida,Escambia,Ferry Pass,12-033-0004,501
30.525367,-87.20355,3,Florida,Escambia,Ferry Pass,12-033-0004,1401
30.5295,-89.691056,1,Mississippi,Pearl River,Not in a city,28-109-0001,648
30.55,-87.376,1,Florida,Escambia,Pensacola,12-033-0026,606
30.593978,-91.251943,1,Louisiana,East Baton Rouge,Not in a city,22-033-1001,635
30.628333,-96.362777,1,Texas,Brazos,College Station,48-041-1086,1027
30.669362,-104.024657,5,Texas,Jeff Davis,Not in a city,48-243-0004,167
30.76652,-88.075727,1,Alabama,Mobile,Chickasaw,01-097-0002,690
30.76652,-88.075727,2,Alabama,Mobile,Chickasaw,01-097-0002,121
30.770181,-88.087761,1,Alabama,Mobile,Chickasaw,01-097-0003,2176
30.770181,-88.087761,2,Alabama,Mobile,Chickasaw,01-097-0003,219
30.8486,-83.2933,1,Georgia,Lowndes,Valdosta,13-185-0003,1906
30.8486,-83.2933,3,Georgia,Lowndes,Valdosta,13-185-0003,614
31.106567,-87.071081,1,Alabama,Escambia,Brewton,01-053-0002,908
31.122419,-97.431052,1,Texas,Bell,Temple,48-027-1045,1708
31.169805,-81.495035,1,Georgia,Glynn,Brunswick,13-127-0006,2842
31.177824,-92.410746,1,Louisiana,Rapides,Alexandria,22-079-0002,2085
31.224783,-85.390789,1,Alabama,Houston,Dothan,01-069-0003,1724
31.224783,-85.390789,3,Alabama,Houston,Dothan,01-069-0003,798
31.228787,-85.375489,1,Alabama,Houston,Dothan,01-069-0002,465
31.289627,-92.480971,1,Louisiana,Rapides,Alexandria,22-079-0001,385
31.323639,-89.287167,1,Mississippi,Forrest,Hattiesburg,28-035-0004,1864
31.323639,-89.287167,2,Mississippi,Forrest,Hattiesburg,28-035-0004,381
31.323639,-89.287167,3,Mississippi,Forrest,Hattiesburg,28-035-0004,2587
31.337204,-110.936718,1,Arizona,Santa Cruz,Nogales,04-023-0004,1242
31.337204,-110.936718,2,Arizona,Santa Cruz,Nogales,04-023-0004,901
31.337204,-110.936718,3,Arizona,Santa Cruz,Nogales,04-023-0004,5848
31.3492,-109.539683,1,Arizona,Cochise,Douglas,04-003-1005,742
31.3492,-109.539683,3,Arizona,Cochise,Douglas,04-003-1005,4326
31.513097,-82.749971,1,Georgia,Coffee,Not in a city,13-069-0002,523
31.520556,-97.200556,1,Texas,McLennan,Waco,48-309-1002,370
31.560752,-91.390405,1,Mississippi,Adams,Natchez,28-001-0004,1248
31.568222,-91.45845,1,Louisiana,Concordia,Vidalia,22-029-0002,98
31.574402,-91.455353,1,Louisiana,Concordia,Vidalia,22-029-0003,302
31.5776,-84.0998,1,Georgia,Dougherty,Albany,13-095-0007,4663
31.5776,-84.0998,2,Georgia,Dougherty,Albany,13-095-0007,1433
31.5776,-84.0998,3,Georgia,Dougherty,Albany,13-095-0007,5747
31.6675,-106.288,1,Texas,El Paso,El Paso,48-141-0057,432
31.688638,-89.135115,1,Mississippi,Jones,Laurel,28-067-0002,1402
31.688638,-89.135115,2,Mississippi,Jones,Laurel,28-067-0002,50
31.735857,-106.377909,1,Texas,El Paso,El Paso,48-141-0038,396
31.746775,-106.402806,1,Texas,El Paso,El Paso,48-141-0055,54
31.757654,-106.482922,1,Texas,El Paso,El Paso,48-141-0002,1021
31.758532,-106.501045,5,Texas,El Paso,El Paso,48-141-0053,563
31.765685,-106.455227,1,Texas,El Paso,El Paso,48-141-0044,2425
31.765685,-106.455227,2,Texas,El Paso,El Paso,48-141-0044,190
31.765685,-106.455227,4,Texas,El Paso,El Paso,48-141-0044,161
31.765685,-106.455227,6,Texas,El Paso,El Paso,48-141-0044,6724
31.768286,-106.501243,1,Texas,El Paso,El Paso,48-141-0037,2135
31.787885,-106.683324,1,New Mexico,Dona Ana,Not in a city,35-013-0022,2107
31.79594,-106.558044,1,New Mexico,Dona Ana,Not in a city,35-013-0017,2042
31.796218,-106.584434,1,New Mexico,Dona Ana,Not in a city,35-013-0021,1423
31.796218,-106.584434,2,New Mexico,Dona Ana,Not in a city,35-013-0021,658
31.796218,-106.584434,3,New Mexico,Dona Ana,Not in a city,35-013-0021,170
31.836577,-102.342066,1,Texas,Ector,Odessa,48-135-0003,1075
31.846667,-106.588333,1,Texas,El Paso,El Paso,48-141-0045,440
31.870259,-102.334745,1,Texas,Ector,Odessa,48-135-1014,2132
31.893913,-106.425827,1,Texas,El Paso,El Paso,48-141-0058,118
31.893913,-106.425827,2,Texas,El Paso,El Paso,48-141-0058,65
